[2021-05-08 18:14:55,683] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:58526]
[2021-05-08 18:15:04,737] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:58527]
[2021-05-08 18:15:17,866] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:58528]
[2021-05-08 18:17:22,799] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10875]
[2021-05-08 18:17:33,361] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:58540]
[2021-05-08 18:17:47,049] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:58541]
[2021-05-08 19:17:43,830] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10875]
[2021-05-08 19:30:06,681] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10876]
[2021-05-08 19:30:30,735] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:59723]
[2021-05-08 19:39:58,960] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10876]
[2021-05-08 21:11:01,047] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10876]
[2021-05-08 21:15:13,411] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED localhost:25000]
[2021-05-09 06:21:40,601] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10876]
[2021-05-09 06:23:37,174] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10876]
[2021-05-09 06:23:56,017] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10876]
[2021-05-09 06:26:02,214] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:52000]
[2021-05-09 06:36:21,391] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-09 06:37:56,372] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:61766]
